,Link,Title
0,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222430427372&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,자전거 4주차 뉴비의 고민ㅠ 체인이 집을 나가고 싶어해요ㅠ
1,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222429328439&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,밀리의 서재가 알려준 책 읽는데 걸리는 시간의 진실... 뚜둥...
2,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222427811589&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,취미로 악기 하나 연주하고 싶어서 산 링팅 칼림바 17key
3,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222425830200&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,그림일지: 스케치북만 3개를 꺼내가며 찍어온 그림모음 (21.06.28~07.08)
4,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222425625556&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,어쨌건간에 백신 예약에는 성공했으나
5,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222422556701&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,6월에서 7월로 넘어오는 일기.zip ☀️🌦🌧⛈🌃🌄
6,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222421323589&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,일기 | 자전거 도로주행 2주차의 내적 고통 기록
7,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222418832747&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,<우주의 전사 쉬라> 시즌5 | 두고 두고 돌려볼 최고의 에피소드들^_^)b
8,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222418812556&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,"책 | 우리가 빛의 속도로 갈 수 없다면, 너무 한낮의 연애, 불편한 편의점"
9,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222418033097&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,이번엔 비즈로 고흐 해바라기 수놓음 | 아이엠미니 보석십자수
10,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222414560226&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,물통 일체형 수채화 붓 | 까렌다쉬 워터브러쉬 세트
11,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222412868902&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,그림일지: 과슈 물감을 곁들인 펜드로잉 모음 (21.06.21~06.27)
12,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222412117397&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,6월 일기.zip 🌿☕️🍻🚲
13,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222406864632&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,오랜만에 써두는 별별 위시리스트
14,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222405659375&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,6월 일기.zip 🌌🛒🚲☕️🔪🌏
15,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222404508303&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,그림일지: 프러스펜 위주의 낙서 모음 (21.06.08~06.20)
16,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222401580296&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,그림일지: 모나미 플러스펜 + 워터브러쉬 = 간단 수채화 짜란
17,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222401535038&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,벌써 자전거 페달 밟기에 성공하다니🤭
18,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222400704426&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,타는 법은 모르지만 자전거는 사고 싶어
19,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222399460525&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,6월 일기.zip 🍧⌚️🩺🍰🎨
20,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222398235878&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,DIY 키트 재료로 니들펠트 응용작 만들기 희망편 (ft. 보스턴 발레단 곰돌이)
21,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222396392500&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,"책 | 달러구트 꿈 백화점, 이미예"
22,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222395301308&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,"양모펠트를 1,000번 찔러 만드는 인형 키트 | 니들펠트"
23,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222395240369&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,괜히 취미키트 샀나 후회했다가 다시 마음 풀림 | 펀치니들
24,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222394176192&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,드라마 <궁> 정주행 완.
25,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222390988002&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,6월 일기.zip 🏞🎨🤳🧶🪡
26,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222389905945&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,혼자 사는 집을 상상하며 짜본 혼수 리스트.txt
27,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222388974270&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,그림일지: 통일성이라고는 없는 스케치북 털이 (21.05.24~06.07)
28,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222387179855&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,비즈로 뉴욕 야경을 한 땀 한 땀... | 다이소 보석십자수
29,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222385340269&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,일기까진 아니고 안방 1열 덕후의 덕질 이야기.txt
30,https://blog.naver.com/PostView.naver?blogId=aletterfromg&logNo=222383769440&parentCategoryNo=&categoryNo=&viewDate=&isShowPopularPosts=false&from=postList,"책 | 기록하기로 했습니다., 김신지"
